dataset_id	outcome	landmark_time	model	term	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariate_set	aic
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	night_fraction_z	odds_ratio	0.9713472336336844	0.86867621646405	1.0861531954085204	0.6100152039209334	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	diagnosis_count_z	odds_ratio	1.6026462001617454	1.4545167991822376	1.7658612429481295	1.5413021672022248e-21	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	dementia_flag	odds_ratio	2.4197829875152395	1.6796417686431147	3.4860705514595387	2.095759738551915e-06	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	sepsis_flag	odds_ratio	1.3616431666887159	1.0611814635265324	1.747177252068272	0.015230486359376108	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	sedative_exposure	odds_ratio	0.5830167809308823	0.40952919387641	0.8299983784540349	0.002753639308709286	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	opioid_exposure	odds_ratio	1.1004099044774196	0.8326204477353755	1.4543264715219366	0.5012546002291285	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	vasopressor_exposure	odds_ratio	0.7427966809830339	0.5660439599699114	0.9747421548473717	0.03199186817899191	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	emergency_admission	odds_ratio	0.9602524062634612	0.7617807935863391	1.2104330950557887	0.7313432760324858	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	micu_unit	odds_ratio	1.2761990983261378	0.9797205165939177	1.6623966845470448	0.07058971442805097	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	deep_sedation_or_unarousable_48h	odds_ratio	1.453390012786632	0.8346870877615906	2.5306998996865624	0.18636987237401514	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	rass_min_z	odds_ratio	0.796941427791144	0.6016852433080978	1.0555612696064927	0.11344396878763384	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
MIMIC-IV-2.2	incident_post_landmark_delirium	48h	clinical_plus_bedside_acuity_markers	medication_infusion_total_z	odds_ratio	0.9892900461000985	0.8000584272115125	1.2232791531536433	0.9208138416854401	9340	445	high_intensity_class,age_z,male,total_event_z,night_fraction_z,diagnosis_count_z,dementia_flag,sepsis_flag,sedative_exposure,opioid_exposure,vasopressor_exposure,emergency_admission,micu_unit,deep_sedation_or_unarousable_48h,rass_min_z,medication_infusion_total_z	3242.1753502730116
